A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||130.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379468||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||130.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379469||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||138.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379470||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||140.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379471||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||150.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379472||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||150.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379473||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||150.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379474||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||150.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379475||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||150.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379476||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||155.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379477||||||||||||||||||
